,Target
146385,0
195862,0
289098,0
63663,0
234400,0
174254,0
249030,0
120885,1
10425,0
185486,0
49836,0
112410,0
187995,0
182199,0
244173,0
56235,0
13127,0
69976,0
7716,0
138032,1
39834,0
286365,0
139587,0
189398,0
165699,0
62684,0
236729,0
146011,0
259317,0
234842,1
256289,0
307146,0
153557,0
293254,0
169133,0
199489,0
290829,0
47395,0
134846,0
235903,0
4214,0
53426,0
59593,0
293853,0
42596,0
65868,0
176252,0
26122,0
32997,0
53883,0
90560,1
121047,0
168354,0
179670,0
88151,0
295524,0
175414,0
113060,0
76914,0
64640,0
110594,0
196319,0
52769,0
255356,0
249445,0
195082,0
85326,0
238715,0
948,0
35675,0
39547,1
35124,0
187711,0
175288,0
289610,0
71894,0
57276,0
4323,0
241237,0
213668,0
7514,0
211476,0
200387,0
65090,0
28259,0
93186,0
89107,0
161235,0
214495,0
53806,0
229456,0
270068,0
26108,0
43674,0
207716,0
81345,0
194047,0
23719,0
100698,1
86246,0
139497,0
75456,0
188498,0
215461,0
233591,0
265963,0
61727,0
36907,0
26538,0
109954,0
209267,0
298101,0
15347,0
225039,0
163178,0
225384,0
130173,0
235503,0
133838,0
120165,0
83976,0
239790,0
169888,0
174903,0
95288,0
269239,0
191428,0
276030,0
292934,0
245230,0
236615,0
82522,0
289222,0
194669,0
154598,0
301802,0
121361,0
84670,0
221718,0
154893,0
109840,0
134410,0
18453,1
227746,0
279823,0
202407,0
118521,0
185927,0
132257,0
101663,0
120660,0
11735,0
94184,0
35699,0
292444,0
761,0
194358,0
257987,0
46726,0
294874,0
286693,0
123575,0
53303,0
273178,0
167508,0
207397,0
32082,0
194772,0
136948,0
78680,0
170930,0
150880,0
223891,0
142855,1
69486,0
104874,0
188908,0
251218,0
162626,0
234383,0
176055,0
99924,0
199794,0
24374,0
304836,0
2953,0
92672,0
76012,0
287359,0
168858,0
292008,1
286738,0
125281,0
15671,0
175575,0
122943,0
128935,1
236673,0
74509,0
142594,0
128647,0
51938,0
194672,0
204705,0
107532,1
123204,0
95889,0
125695,0
3032,0
59824,0
209788,0
10367,0
31944,0
186672,0
43268,0
125000,0
147514,0
245587,0
72255,0
233216,0
98959,0
84002,0
62564,0
42369,0
142199,0
106075,0
60494,0
243074,0
286592,0
228296,0
62275,0
256199,0
78224,0
202754,1
38610,0
162678,0
259918,0
26935,0
162202,0
138675,0
259123,0
20628,0
198041,0
28476,0
290238,0
253702,0
176075,0
137675,0
183335,0
170553,0
189611,0
115565,0
289756,0
188184,0
273784,0
169703,0
106150,0
266381,0
241648,0
152609,0
244306,0
170660,0
237639,0
61227,1
84873,0
211809,0
164657,0
245759,0
125453,0
305120,0
230704,0
109873,0
44423,0
5903,0
47499,0
86073,0
265030,0
275049,0
214848,0
64333,0
15938,0
256404,0
17185,0
171298,0
131447,1
169763,0
107265,0
125264,0
247913,0
118684,0
85929,0
134137,0
259666,0
163973,0
64833,0
68293,0
113925,0
211399,0
270721,0
274266,0
294446,1
148540,0
272943,0
54710,0
139279,0
53616,0
199005,0
11016,0
117546,0
5625,0
134276,0
217018,0
233846,0
256803,0
223856,0
279848,0
31534,0
250058,0
57774,0
255027,0
163475,1
291208,0
185560,0
230822,0
129358,0
197244,0
30125,0
291091,0
302532,0
176300,0
273260,0
168265,0
241289,0
20740,0
26314,0
17377,0
32665,0
94016,0
58952,0
130319,0
16882,0
72007,0
212525,0
157714,0
252606,0
70807,0
70456,0
162081,0
251458,1
684,0
38175,0
120451,0
287136,0
277483,1
149742,0
165223,0
278867,0
275316,0
165079,0
46357,0
169716,0
289154,0
147391,0
12269,0
35854,1
270258,0
81489,0
117627,0
22679,0
100595,0
286096,0
158970,0
73661,0
104164,0
8162,0
231429,0
107085,0
246226,0
170987,0
49888,0
155816,0
68650,0
210122,0
233756,0
48296,0
249845,0
44049,0
8302,0
156136,1
302667,1
138243,0
183816,0
74154,0
292134,1
133045,0
208131,0
178205,0
265145,0
80677,0
75076,0
143833,0
208072,0
305794,0
248188,0
121325,0
202,0
18392,0
253454,0
207131,0
66415,0
203874,0
238005,0
163926,0
44285,0
164861,0
94326,0
222527,0
96564,0
79173,0
84087,0
256239,0
31838,0
128695,0
83944,0
138287,1
129510,0
163054,0
31574,0
244921,1
192154,0
112953,0
285547,0
42753,1
150302,0
105906,0
116507,1
115138,0
41712,0
302225,0
159984,0
190416,0
62695,1
198563,1
287782,0
96309,0
250967,1
278871,0
141601,0
166083,0
277949,0
229129,0
207824,0
214317,0
16154,0
209024,1
159298,0
106440,1
176309,0
19418,0
164290,0
238009,0
233885,1
72384,0
63253,0
6980,0
45503,0
129633,0
300115,1
207886,0
245656,0
117,0
40374,0
228205,0
98078,0
183815,0
106268,0
97351,1
89447,0
162408,0
92135,0
139370,0
3715,0
279040,0
210110,0
146027,0
281751,0
280557,0
236602,0
71358,0
61202,1
125509,0
50511,0
107794,0
217133,0
189320,0
211900,0
166394,0
33051,0
151362,0
203193,0
6616,1
213215,1
235596,0
257139,0
6203,0
228498,0
282897,0
161779,0
159310,0
243176,0
250504,1
279156,0
224792,0
102643,0
44565,0
120231,0
13336,0
293849,0
269492,0
194375,0
266314,1
74969,0
136621,1
238435,1
194231,0
267358,0
204063,0
299260,0
78019,0
132918,1
34433,0
92880,0
278860,0
15395,0
242231,0
130645,1
125326,0
193310,1
71027,0
248015,0
147868,0
192454,1
215019,0
249305,0
166629,1
109490,0
34153,0
244392,0
268832,0
280282,0
246409,0
164074,0
111495,0
104440,0
251570,0
232006,0
208226,0
90021,0
197726,0
181447,0
74773,0
194111,1
217640,0
56469,0
104956,0
21609,0
158123,0
259908,0
23850,1
129628,0
124336,1
210182,0
224298,0
306616,0
302315,0
83448,0
24813,0
189573,0
28950,0
189556,0
41652,0
155302,0
88818,0
